Painting Name,Origin,Image Address,Artistic Location,Creation Date,Hue,Saturation,Brightness,Yellowness,Color Diversity
Agostina Segatori Sitting in the Cafe du Tambourin,"Paris: February-March, 1887",http://www.vggallery.com/painting/f_0370.jpg,Paris,1887,41.795962209899365,98.4018607516944,135.55315259806943,150.82551653316904,3
Almond Tree in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0557.jpg,Arles,1888,43.6959440267335,111.1848746867168,130.28455722639933,150.45201754385965,2
Apricot Trees in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0399.jpg,Arles,1888,69.21252154195011,13.447827664399092,128.06274376417232,129.29597732426305,1
Apricot Trees in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0556.jpg,Arles,1888,33.73654948000492,72.92027717464461,148.72063066595658,143.08277198054628,1
Arles: View from the Wheat Fields,"Arles: June, 1888",http://www.vggallery.com/painting/f_0545.jpg,Arles,1888,29.198067674836317,158.24723622457847,172.6660901558607,170.90577669621646,1
At the Foot of the Mountains,"Saint-Remy: early June, 1889",http://www.vggallery.com/painting/f_0723.jpg,Saint-Remy,1889,67.40982542067866,107.50370123003283,157.81630396467597,144.80324298250497,3
Autumn Landscape,"Nuenen: October, 1885",http://www.vggallery.com/painting/f_0119.jpg,Nuenen,1885,43.63210045603111,131.2280543103337,147.3768716007596,150.66829873267275,1
Autumn Landscape at Dusk,"Nuenen: October-November, 1885",http://www.vggallery.com/painting/f_0121.jpg,Nuenen,1885,49.43933048038185,172.33881140522416,120.42317725638212,155.40804547508478,1
Autumn Landscape with Four Trees,"Nuenen: November, 1885",http://www.vggallery.com/painting/f_0044.jpg,Nuenen,1885,33.2776955602537,137.82245243128963,152.7502114164905,158.35064482029597,2
Auvers Town Hall on 14 July 1890,"Auvers-sur-Oise: July, 1890",http://www.vggallery.com/painting/f_0790.jpg,Auvers-sur-Oise,1890,41.258683318597114,93.5885794282346,164.1906461833186,151.04850795755968,1
Avenue in Voyer d'Argenson Park at Asnieres,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0277.jpg,Paris,1887,52.34198392554992,83.47254653130288,101.30920403271291,139.21702975183305,2
Avenue of Plane Trees near Arles Station,"Arles: March, 1888",http://www.vggallery.com/painting/f_0398.jpg,Arles,1888,57.486167899539105,87.99136989294297,157.32940062632,141.77062330284966,2
Avenue of Poplars at Sunset,"Nuenen: October, 1884",http://www.vggallery.com/painting/f_0123.jpg,Nuenen,1884,37.8763445831407,112.67458005856064,120.71675142548929,153.857235321313,2
Avenue of Poplars in Autumn,"Nuenen: late October, 1884",http://www.vggallery.com/painting/f_0122.jpg,Nuenen,1884,40.469182094081944,147.7062837632777,65.4215751138088,146.61355083459787,1
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0441.jpg,Arles,1888,43.108413522194866,115.75302285297307,165.28493245040337,159.1661017642686,1
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0441a.jpg,Arles,1888,33.26525388415977,80.79198910649444,169.60481278647538,147.06229165426512,4
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0440.jpg,Arles,1888,55.80743464052288,76.13186858076564,209.81638071895424,154.89632352941177,6
Backyards of Old Houses in Antwerp in the Snow,"Antwerp: December, 1885",http://www.vggallery.com/painting/f_0260.jpg,Antwerp,1885,27.959542391914656,147.94786636720943,95.56197641774284,146.3641184727681,1
Bank of the Oise at Auvers,"Auvers-sur-Oise: July, 1890",http://www.vggallery.com/painting/f_0798.jpg,Auvers-sur-Oise,1890,94.19486735181644,119.97842076959847,138.13181763862332,137.85619024856595,7
"Banks of the Seine with Boats, The","Paris: Spring, 1887",http://www.vggallery.com/painting/f_0353.jpg,Paris,1887,79.45669647634335,53.321761063976155,159.19749904456165,136.44717266681954,3
Banks of the Seine with Pont de Clichy in the Spring,"Paris: June, 1887",http://www.vggallery.com/painting/f_0352.jpg,Paris,1887,62.98158498023715,99.441790513834,160.891,154.1040909090909,1
Banks of the Seine with the Pont de Clichy,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0302.jpg,Paris,1887,41.14789188573544,74.49744449427325,170.10256191228706,148.70473943095507,1
"Banks of the Seine, The","Paris: May-June, 1887",http://www.vggallery.com/painting/f_0293.jpg,Paris,1887,21.180175673437844,93.40869949216163,135.11785507286376,144.0894685637006,1
Basket of Apples,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0099.jpg,Nuenen,1885,47.412361633249795,94.35602809106099,27.883317669172932,132.1716113199666,4
Basket of Apples,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0101.jpg,Nuenen,1885,198.46339606933665,209.186471620135,43.11316266761811,124.74442660482265,1
Basket of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0100.jpg,Nuenen,1885,63.231547845977886,71.2798544923116,80.27657580378701,139.36753717117804,1
Basket of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0116.jpg,Nuenen,1885,22.51068938503721,123.25480611045829,89.48188405797102,145.55587544065804,1
Basket of Sprouting Bulbs,"Paris: March-April, 1887",http://www.vggallery.com/painting/f_0336.jpg,Paris,1887,36.79669343410487,50.82495844923809,178.71283962280657,139.03302716982452,1
Baskets of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0107.jpg,Nuenen,1885,24.793181507718128,79.74257947426966,79.92690904123491,138.5988564291708,1
Bathing Float on the Seine at Asnieres,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0311.jpg,Paris,1887,74.56619457066616,46.8171237079992,157.59274135161039,136.03211470967474,2
Beach at Scheveningen in Calm Weather,"The Hague: August, 1882",http://www.vggallery.com/painting/f_0002.jpg,The Hague,1882,56.390416132952346,60.2008079613755,199.6968338424147,143.04664663185207,2
"Bedroom, The","Saint-Remy: early September, 1889",http://www.vggallery.com/painting/f_0484.jpg,Saint-Remy,1889,70.22805418253517,90.21021392107609,163.69485860140995,147.09214542311537,3
Beer Tankards,"Nuenen: September-mid-October, 1885",http://www.vggallery.com/painting/f_0049.jpg,Nuenen,1885,49.609486062554915,40.56024603189441,80.70185271738114,135.41844491390754,1
Blossoming Acacia Branches,"Auvers-sur-Oise: June, 1890",http://www.vggallery.com/painting/f_0821.jpg,Auvers-sur-Oise,1890,54.244208765309985,78.05844048796571,134.27272227717333,145.90178713167504,1
Blossoming Almond Branch in a Glass,"Arles: early March, 1888",http://www.vggallery.com/painting/f_0392.jpg,Arles,1888,43.54832041343669,86.8364206658601,172.504279249003,154.4581350539947,2
Blossoming Almond Branch in a Glass with a Book,"Arles: early March, 1888",http://www.vggallery.com/painting/f_0393.jpg,Arles,1888,99.93835911848183,68.30423576715454,184.24454964104848,139.87873212198787,3
Blossoming Almond Tree,"Saint-Remy: February, 1890",http://www.vggallery.com/painting/f_0671.jpg,Saint-Remy,1890,118.225382278481,72.45121139240506,170.9829227848101,122.21081518987341,1
Blossoming Chestnut Branches,"Auvers-sur-Oise: May, 1890",http://www.vggallery.com/painting/f_0820.jpg,Auvers-sur-Oise,1890,111.55302170868347,76.17763655462186,161.69605042016806,121.35507703081232,5
Blossoming Pear Tree,"Arles: April, 1888",http://www.vggallery.com/painting/f_0405.jpg,Arles,1888,46.338904687558085,94.78013363815471,159.9115413925133,148.51229972863462,7
Bobbin Winder,"Nuenen: March-April, 1885",http://www.vggallery.com/painting/f_0175.jpg,Nuenen,1885,149.92144633236634,107.01575987212125,53.9842845302232,128.966656799479,1
"Bois de Boulogne with People Walking, The","Paris: Summer, 1886",http://www.vggallery.com/painting/f_0225.jpg,Paris,1886,50.095367712209814,101.94323232323232,162.2171043771044,146.99768917242602,1
"Bois de Boulogne with People Walking, The","Paris: Summer, 1886",http://www.vggallery.com/painting/f_0224.jpg,Paris,1886,57.323544700531286,9.441325536062378,101.59675495929366,128.30623017238085,1
"Bois de Boulogne with People Walking, The","Paris: Autumn, 1886",http://www.vggallery.com/painting/jh_add02.jpg,Paris,1886,88.69096632996633,14.527016835016836,139.04146464646465,128.91230303030304,1
Boulevard de Clichy,"Paris: February-March, 1887",http://www.vggallery.com/painting/f_0292.jpg,Paris,1887,48.01199852972065,55.32601986044015,186.3133853765549,144.7591717426311,3
Bowl with Chrysanthemums,"Paris: Summer, 1886",http://www.vggallery.com/painting/f_0217.jpg,Paris,1886,81.91994458625128,16.423202507435768,91.65814007606664,128.72779268567606,1
Bowl with Daffodils,"Paris, 1886",http://www.vggallery.com/painting/jh_add01.jpg,Paris,1886,57.550036828713004,30.7621568233561,88.57845855095755,132.849132851212,1
Bowl with Peonies and Roses,"Paris: Autumn, 1886",http://www.vggallery.com/painting/f_0249.jpg,Paris,1886,27.886850797666735,151.7891336940989,117.83381357321902,157.88727832829667,2
