Painting Name,Origin,Image Address,Artistic Location,Creation Date,Dominant Color,Saturation,Brightness,Yellowness,Color Diversity
Agostina Segatori Sitting in the Cafe du Tambourin,"Paris: February-March, 1887",http://www.vggallery.com/painting/f_0370.jpg,Paris,1887,B,98.4018607516944,135.55315259806943,150.82551653316904,136.20522469307943
Almond Tree in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0557.jpg,Arles,1888,G,111.1848746867168,130.28455722639933,150.45201754385965,135.81040113558421
Apricot Trees in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0399.jpg,Arles,1888,B,13.447827664399092,128.06274376417232,129.29597732426305,138.0570934868849
Apricot Trees in Blossom,"Arles: April, 1888",http://www.vggallery.com/painting/f_0556.jpg,Arles,1888,G,72.92027717464461,148.72063066595658,143.08277198054628,126.88477238552237
Arles: View from the Wheat Fields,"Arles: June, 1888",http://www.vggallery.com/painting/f_0545.jpg,Arles,1888,R,158.24723622457847,172.6660901558607,170.90577669621646,123.80636040980326
At the Foot of the Mountains,"Saint-Remy: early June, 1889",http://www.vggallery.com/painting/f_0723.jpg,Saint-Remy,1889,R,107.50370123003283,157.81630396467597,144.80324298250497,137.5169613274271
Autumn Landscape,"Nuenen: October, 1885",http://www.vggallery.com/painting/f_0119.jpg,Nuenen,1885,R,131.2280543103337,147.3768716007596,150.66829873267275,138.88103203186438
Autumn Landscape at Dusk,"Nuenen: October-November, 1885",http://www.vggallery.com/painting/f_0121.jpg,Nuenen,1885,B,172.33881140522416,120.42317725638212,155.40804547508478,88.93032709438928
Autumn Landscape with Four Trees,"Nuenen: November, 1885",http://www.vggallery.com/painting/f_0044.jpg,Nuenen,1885,R,137.82245243128963,152.7502114164905,158.35064482029597,168.37319053038462
Auvers Town Hall on 14 July 1890,"Auvers-sur-Oise: July, 1890",http://www.vggallery.com/painting/f_0790.jpg,Auvers-sur-Oise,1890,R,93.5885794282346,164.1906461833186,151.04850795755968,135.1753663998972
Avenue in Voyer d'Argenson Park at Asnieres,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0277.jpg,Paris,1887,G,83.47254653130288,101.30920403271291,139.21702975183305,114.12611624843859
Avenue of Plane Trees near Arles Station,"Arles: March, 1888",http://www.vggallery.com/painting/f_0398.jpg,Arles,1888,R,87.99136989294297,157.32940062632,141.77062330284966,112.72488137343335
Avenue of Poplars at Sunset,"Nuenen: October, 1884",http://www.vggallery.com/painting/f_0123.jpg,Nuenen,1884,G,112.67458005856064,120.71675142548929,153.857235321313,124.28209755701924
Avenue of Poplars in Autumn,"Nuenen: late October, 1884",http://www.vggallery.com/painting/f_0122.jpg,Nuenen,1884,G,147.7062837632777,65.4215751138088,146.61355083459787,85.71983368388302
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0441.jpg,Arles,1888,B,115.75302285297307,165.28493245040337,159.1661017642686,110.93254053624015
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0441a.jpg,Arles,1888,B,80.79198910649444,169.60481278647538,147.06229165426512,103.58155800475171
"Baby Marcelle Roulin, The","Arles: December, 1888",http://www.vggallery.com/painting/f_0440.jpg,Arles,1888,B,76.13186858076564,209.81638071895424,154.89632352941177,100.66107641613159
Backyards of Old Houses in Antwerp in the Snow,"Antwerp: December, 1885",http://www.vggallery.com/painting/f_0260.jpg,Antwerp,1885,R,147.94786636720943,95.56197641774284,146.3641184727681,163.29008078581964
Bank of the Oise at Auvers,"Auvers-sur-Oise: July, 1890",http://www.vggallery.com/painting/f_0798.jpg,Auvers-sur-Oise,1890,G,119.97842076959847,138.13181763862332,137.85619024856595,110.42321939530206
"Banks of the Seine with Boats, The","Paris: Spring, 1887",http://www.vggallery.com/painting/f_0353.jpg,Paris,1887,B,53.321761063976155,159.19749904456165,136.44717266681954,119.66307986388874
Banks of the Seine with Pont de Clichy in the Spring,"Paris: June, 1887",http://www.vggallery.com/painting/f_0352.jpg,Paris,1887,B,99.441790513834,160.891,154.1040909090909,97.8031147642561
Banks of the Seine with the Pont de Clichy,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0302.jpg,Paris,1887,R,74.49744449427325,170.10256191228706,148.70473943095507,132.0488555475593
"Banks of the Seine, The","Paris: May-June, 1887",http://www.vggallery.com/painting/f_0293.jpg,Paris,1887,B,93.40869949216163,135.11785507286376,144.0894685637006,118.11414231467752
Basket of Apples,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0099.jpg,Nuenen,1885,G,94.35602809106099,27.883317669172932,132.1716113199666,101.06855293094065
Basket of Apples,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0101.jpg,Nuenen,1885,B,209.186471620135,43.11316266761811,124.74442660482265,84.38719166372691
Basket of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0100.jpg,Nuenen,1885,R,71.2798544923116,80.27657580378701,139.36753717117804,97.95512575330123
Basket of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0116.jpg,Nuenen,1885,R,123.25480611045829,89.48188405797102,145.55587544065804,118.38676832154636
Basket of Sprouting Bulbs,"Paris: March-April, 1887",http://www.vggallery.com/painting/f_0336.jpg,Paris,1887,R,50.82495844923809,178.71283962280657,139.03302716982452,144.03688194703227
Baskets of Potatoes,"Nuenen: September, 1885",http://www.vggallery.com/painting/f_0107.jpg,Nuenen,1885,B,79.74257947426966,79.92690904123491,138.5988564291708,62.59508679932288
Bathing Float on the Seine at Asnieres,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0311.jpg,Paris,1887,B,46.8171237079992,157.59274135161039,136.03211470967474,126.38375437412331
Beach at Scheveningen in Calm Weather,"The Hague: August, 1882",http://www.vggallery.com/painting/f_0002.jpg,The Hague,1882,G,60.2008079613755,199.6968338424147,143.04664663185207,175.11476145278624
"Bedroom, The","Saint-Remy: early September, 1889",http://www.vggallery.com/painting/f_0484.jpg,Saint-Remy,1889,R,90.21021392107609,163.69485860140995,147.09214542311537,110.81096157857542
Beer Tankards,"Nuenen: September-mid-October, 1885",http://www.vggallery.com/painting/f_0049.jpg,Nuenen,1885,B,40.56024603189441,80.70185271738114,135.41844491390754,67.75805279119527
Blossoming Acacia Branches,"Auvers-sur-Oise: June, 1890",http://www.vggallery.com/painting/f_0821.jpg,Auvers-sur-Oise,1890,G,78.05844048796571,134.27272227717333,145.90178713167504,120.78340703720849
Blossoming Almond Branch in a Glass,"Arles: early March, 1888",http://www.vggallery.com/painting/f_0392.jpg,Arles,1888,R,86.8364206658601,172.504279249003,154.4581350539947,115.77697099189635
Blossoming Almond Branch in a Glass with a Book,"Arles: early March, 1888",http://www.vggallery.com/painting/f_0393.jpg,Arles,1888,R,68.30423576715454,184.24454964104848,139.87873212198787,116.01780422212869
Blossoming Almond Tree,"Saint-Remy: February, 1890",http://www.vggallery.com/painting/f_0671.jpg,Saint-Remy,1890,G,72.45121139240506,170.9829227848101,122.21081518987341,92.81087707021767
Blossoming Chestnut Branches,"Auvers-sur-Oise: May, 1890",http://www.vggallery.com/painting/f_0820.jpg,Auvers-sur-Oise,1890,B,76.17763655462186,161.69605042016806,121.35507703081232,116.48508346998038
Blossoming Pear Tree,"Arles: April, 1888",http://www.vggallery.com/painting/f_0405.jpg,Arles,1888,G,94.78013363815471,159.9115413925133,148.51229972863462,140.7673189365704
Bobbin Winder,"Nuenen: March-April, 1885",http://www.vggallery.com/painting/f_0175.jpg,Nuenen,1885,R,107.01575987212125,53.9842845302232,128.966656799479,75.29629544722373
"Bois de Boulogne with People Walking, The","Paris: Summer, 1886",http://www.vggallery.com/painting/f_0225.jpg,Paris,1886,G,101.94323232323232,162.2171043771044,146.99768917242602,163.7007537281519
"Bois de Boulogne with People Walking, The","Paris: Summer, 1886",http://www.vggallery.com/painting/f_0224.jpg,Paris,1886,B,9.441325536062378,101.59675495929366,128.30623017238085,99.58523522621611
"Bois de Boulogne with People Walking, The","Paris: Autumn, 1886",http://www.vggallery.com/painting/jh_add02.jpg,Paris,1886,B,14.527016835016836,139.04146464646465,128.91230303030304,123.84091030393813
Boulevard de Clichy,"Paris: February-March, 1887",http://www.vggallery.com/painting/f_0292.jpg,Paris,1887,G,55.32601986044015,186.3133853765549,144.7591717426311,115.6854441481951
Bowl with Chrysanthemums,"Paris: Summer, 1886",http://www.vggallery.com/painting/f_0217.jpg,Paris,1886,B,16.423202507435768,91.65814007606664,128.72779268567606,101.9168131359978
Bowl with Daffodils,"Paris, 1886",http://www.vggallery.com/painting/jh_add01.jpg,Paris,1886,B,30.7621568233561,88.57845855095755,132.849132851212,148.12043320213297
Bowl with Peonies and Roses,"Paris: Autumn, 1886",http://www.vggallery.com/painting/f_0249.jpg,Paris,1886,R,151.7891336940989,117.83381357321902,157.88727832829667,127.54660459835411
"Bowl with Sunflowers, Roses and Other Flowers","Paris: August-September, 1886",http://www.vggallery.com/painting/f_0250.jpg,Paris,1886,B,105.68787124885796,98.46980111040833,146.2965661676857,106.63919185322571
"Bridge at Trinquetaille, The","Arles: June, 1888",http://www.vggallery.com/painting/f_0426.jpg,Arles,1888,G,113.3823323765364,152.6317650450185,152.86659122690807,133.45080492026895
Bridges across the Seine at Asnieres,"Paris: Summer, 1887",http://www.vggallery.com/painting/f_0301.jpg,Paris,1887,B,61.26198382883142,153.8669556609685,143.00121995150465,107.12342115814259
"Brothel, The","Arles: October, 1888",http://www.vggallery.com/painting/f_0478.jpg,Arles,1888,R,128.91606227106226,103.16529827315541,149.93444793301936,88.9039170650085
Bulb Fields,"The Hague: April, 1883",http://www.vggallery.com/painting/f_0186.jpg,The Hague,1883,G,92.4657864907881,152.4189400301875,151.01255660161274,121.45622679864995
"Cafe Terrace on the Place du Forum, Arles, at Night, The","Arles: September, 1888",http://www.vggallery.com/painting/f_0467.jpg,Arles,1888,B,177.44898997493735,143.19583458646616,141.62701629072683,157.14507525961298
Canal with Women Washing,"Arles: June, 1888",http://www.vggallery.com/painting/f_0427.jpg,Arles,1888,G,104.85105804311775,123.59487562189055,147.43064676616916,113.38423846411523
Cart with Black Ox,"Nuenen: July, 1884",http://www.vggallery.com/painting/f_0039.jpg,Nuenen,1884,G,14.728935661861767,119.14557592797931,127.76167894292202,108.56293023412319
Cart with Red and White Ox,"Nuenen: July, 1884",http://www.vggallery.com/painting/f_0038.jpg,Nuenen,1884,B,85.56320156173743,64.4391510555493,138.68187733853912,77.74460497719055
Chestnut Tree in Blossom,"Auvers-sur-Oise: May, 1890",http://www.vggallery.com/painting/f_0752.jpg,Auvers-sur-Oise,1890,B,97.95806289308176,134.25956918238992,140.5099496855346,125.82826434131968
Chestnut Tree in Blossom,"Paris: May, 1887",http://www.vggallery.com/painting/f_0270a.jpg,Paris,1887,B,124.25694989106753,99.80920578332343,148.63180431768666,134.72029190740366
Chestnut Trees in Blossom,"Auvers-sur-Oise: May, 1890",http://www.vggallery.com/painting/f_0751.jpg,Auvers-sur-Oise,1890,R,96.58778653530378,89.47971428571428,144.0876157635468,107.6908916276284
Child with Orange,"Auvers-sur-Oise: June, 1890",http://www.vggallery.com/painting/f_0785.jpg,Auvers-sur-Oise,1890,R,103.12537258448039,169.40591111557654,148.65364546702835,104.66756052251938
Chrysanthemums and Wild Flowers in a Vase,"Paris: Autumn, 1887",http://www.vggallery.com/painting/f_0588.jpg,Paris,1887,R,169.39311192309364,84.28043484565082,142.79128061246684,164.12107758729806
"Church at Auvers, The","Auvers-sur-Oise: June, 1890",http://www.vggallery.com/painting/f_0789.jpg,Auvers-sur-Oise,1890,G,90.81109081470744,130.35653489784326,124.42981743031206,95.35282764755107
Cineraria in a Flowerpot,"Paris: July-August, 1886",http://www.vggallery.com/painting/f_0282.jpg,Paris,1886,R,117.10415927036787,87.37909652935055,147.59147946379383,108.38574984536187
Clumps of Grass,"Arles: April, 1889",http://www.vggallery.com/painting/f_0582.jpg,Arles,1889,R,78.89616164116528,152.51437721428903,150.85103887866083,106.88966679268653
Cluster of Old Houses with the New Church in The Hague,"The Hague: August, 1882",http://www.vggallery.com/painting/f_0204.jpg,The Hague,1882,R,63.986227468900736,103.58627525648492,134.65882278273077,118.40419116512652
Coal Barges,"Arles: August, 1888",http://www.vggallery.com/painting/f_0437.jpg,Arles,1888,R,146.90938023450587,167.2910331800848,171.33113439538116,117.44997930889284
Coal Barges,"Arles: August, 1888",http://www.vggallery.com/painting/f_0438.jpg,Arles,1888,G,108.45621141918848,134.129906659681,156.91232917609386,116.8732000566851
Coleus Plant in a Flowerpot,"Paris: Summer, 1886",http://www.vggallery.com/painting/f_0281.jpg,Paris,1886,B,123.29849279700039,63.85575499934219,139.26750592027363,64.55904255841536
